sku,brand,caption,unit,badge,link,image_url,price,per_unit,regular_price,promo_price,availability
183735,PURINA ONE,karma pełnoporcjowa sucha dla dorosłych kotów z kurczakiem i pełnymi ziarnami,800 g,MEGA!,"https://www.rossmann.pl/Produkt/Suche/Purina-One-Coat-Hairball-karma-pelnoporcjowa-sucha-dla-doroslych-kotow-z-kurczakiem-i-pelnymi-ziar,183735,19123",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/183735_360_350_1747641510.webp,"16,99 zł","100 g = 2,12 zł",24.99,16.99,Niedostępny online; Sprawdź dostępność w drogerii
117609,PURINA ONE,"karma pełnoporcjowa sucha dla kotów przebywająych w domu, z indykiem i pełnym ziarnem",800 g,MEGA!,"https://www.rossmann.pl/Produkt/Suche/Purina-One-Indoor-Formula-karma-pelnoporcjowa-sucha-dla-kotow-przebywajaych-w-domu-z-indykiem-i-pel,117609,19123",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/117609_360_350_1748506060.webp,"16,99 zł","100 g = 2,12 zł",24.99,16.99,Niedostępny online; Sprawdź dostępność w drogerii
137675,PURINA ONE,karma pełnoporcjowa sucha dla kociąt z kurczakiem,800 g,MEGA!,"https://www.rossmann.pl/Produkt/Suche/Purina-One-Junior-1-12-karma-pelnoporcjowa-sucha-dla-kociat-z-kurczakiem-800-g,137675,19123",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/137675_360_350_1727311807.webp,"16,99 zł","100 g = 2,12 zł",24.99,16.99,Niedostępny online; Sprawdź dostępność w drogerii
117608,PURINA ONE,"karma pełnoporcjowa sucha dla kotów sterylizowanych i kastrowanych, z wołowiną i pszenicą",800 g,MEGA!,"https://www.rossmann.pl/Produkt/Suche/Purina-One-Sterilcat-karma-pelnoporcjowa-sucha-dla-kotow-sterylizowanych-i-kastrowanych-z-wolowina-,117608,19123",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/117608_360_350_1727323244.webp,"16,99 zł","100 g = 2,12 zł",24.99,16.99,Niedostępny online; Sprawdź dostępność w drogerii
2096993,PURINA ONE,"karma pełnoporcjowa sucha dla kotów sterylizowanych i kastrowanych, z łososiem i pszenicą",800 g,MEGA!,"https://www.rossmann.pl/Produkt/Suche/Purina-One-Sterilcat-karma-pelnoporcjowa-sucha-dla-kotow-sterylizowanych-i-kastrowanych-z-lososiem-,2096993,19123",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/2096993_360_350_1730710989.webp,"16,99 zł","100 g = 2,12 zł",24.99,16.99,Niedostępny online; Sprawdź dostępność w drogerii
357014,SHEBA,"karma pełnoporcjowa mokra dla dorosłych kotów, Koktajl drobiowy",85 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Sheba-Classics-in-Pastete-karma-pelnoporcjowa-mokra-dla-doroslych-kotow-Koktajl-drobiowy-85-g,357014,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/357014_360_350_1727388618.webp,"1,99 zł","100 g = 2,34 zł",3.49,1.99,Niedostępny online; Sprawdź dostępność w drogerii
357017,SHEBA,"karma pełnoporcjowa mokra dla dorosłych kotów, z wołowiną",85 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Sheba-Classics-in-Pastete-karma-pelnoporcjowa-mokra-dla-doroslych-kotow-z-wolowina-85-g,357017,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/357017_360_350_1727432203.webp,"1,99 zł","100 g = 2,34 zł",3.49,1.99,Niedostępny online; Sprawdź dostępność w drogerii
357015,SHEBA,"karma pełnoporcjowa mokra dla dorosłych kotów, z łososiem",85 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Sheba-Classics-in-Pastete-karma-pelnoporcjowa-mokra-dla-doroslych-kotow-z-lososiem-85-g,357015,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/357015_360_350_1727432181.webp,"1,99 zł","100 g = 2,34 zł",3.49,1.99,Niedostępny online; Sprawdź dostępność w drogerii
202201,SHEBA,"karma pełnoporcjowa mokra dla dorosłych kotów, z kurczakiem, z drobiem, z indykiem",6 x 50g,,"https://www.rossmann.pl/Produkt/Mokre/Sheba-Fresh-Fine-in-Sauce-karma-pelnoporcjowa-mokra-dla-doroslych-kotow-z-kurczakiem-z-drobiem-,202201,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/202201_360_350_1727340049.webp,"10,99 zł","100 g = 3,66 zł",13.49,10.99,Niedostępny online; Sprawdź dostępność w drogerii
2106345,SHEBA,"mokra karma dla kota, w saszetkach, 3 smaki: z wołowiną, z kurczakiem, z jagnięciną, w sosie",300 g,,"https://www.rossmann.pl/Produkt/Mokre/Sheba-Fresh-Fine-mokra-karma-dla-kota-w-saszetkach-3-smaki-z-wolowina-z-kurczakiem-z-jagnieci,2106345,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/2106345_360_350_1743766105.webp,"10,99 zł","100 g = 3,66 zł",13.49,10.99,Niedostępny online; Sprawdź dostępność w drogerii
